contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type,expiration,moneyness,days_to_expiration,T,bs_price,pricing_error,vg_price,nig_price,vg_error,nig_error
AAPL250314C00100000,2025-03-05 14:42:20+00:00,100.0,133.96,127.35,129.05,0.0,0.0,1.0,0,3.7060554223632813,True,REGULAR,USD,call,2025-03-14,0.4394831677946735,4,0.010958904109589041,127.94161919691953,6.0183808030804755,,,,
AAPL250314C00120000,2025-02-26 18:24:10+00:00,120.0,120.95,107.4,108.8,0.0,0.0,11.0,7,2.8847684130859372,True,REGULAR,USD,call,2025-03-14,0.5273798013536082,4,0.010958904109589041,107.90140978110432,13.048590218895683,,,,
AAPL250314C00130000,2025-03-10 14:22:57+00:00,130.0,96.75,97.4,98.85,-7.9000015,-7.548974,2.0,1,2.582034794921875,True,REGULAR,USD,call,2025-03-14,0.5713281181330755,4,0.010958904109589041,97.92571251488556,-1.1757125148855607,,,,
AAPL250314C00140000,2025-03-10 14:22:57+00:00,140.0,88.89,87.4,89.1,-11.709999,-11.640158,8.0,42,2.355472861328124,True,REGULAR,USD,call,2025-03-14,0.6152764349125429,4,0.010958904109589041,88.00955727148798,0.8804427285120227,,,,
AAPL250314C00145000,2025-03-10 14:07:06+00:00,145.0,84.85,82.4,83.8,-4.1800003,-4.695047,5.0,4,2.1220750073242183,True,REGULAR,USD,call,2025-03-14,0.6372505933022765,4,0.010958904109589041,82.92543744115443,1.9245625588455653,,,,
AAPL250314C00150000,2025-03-10 14:46:17+00:00,150.0,78.17,77.4,79.1,-9.360001,-10.693478,4.0,23,2.0664110839843746,True,REGULAR,USD,call,2025-03-14,0.6592247516920102,4,0.010958904109589041,78.02207458427006,0.14792541572994367,,,,
AAPL250314C00155000,2025-03-10 14:46:17+00:00,155.0,73.18,72.4,74.25,-11.839996,-13.926131,4.0,7,1.962890810546875,True,REGULAR,USD,call,2025-03-14,0.6811989100817439,4,0.010958904109589041,73.07463594590496,0.10536405409504823,,,,
AAPL250314C00160000,2025-03-10 14:38:59+00:00,160.0,69.36,67.25,67.65,-6.8399963,-8.976374,3.0,4,1.3925811621093749,True,REGULAR,USD,call,2025-03-14,0.7031730684714775,4,0.010958904109589041,67.69016256175277,1.669837438247228,,,,
AAPL250314C00165000,2025-03-06 16:40:57+00:00,165.0,71.25,62.45,63.85,0.0,0.0,4.0,4,1.615236298828125,True,REGULAR,USD,call,2025-03-14,0.7251472268612112,4,0.010958904109589041,62.979114535646005,8.270885464353995,,,,
AAPL250314C00170000,2025-03-10 14:38:59+00:00,170.0,59.35,57.45,59.15,-7.3700027,-11.046166,3.0,17,1.5517600537109373,True,REGULAR,USD,call,2025-03-14,0.747121385250945,4,0.010958904109589041,58.08134615316996,1.2686538468300412,,,,
AAPL250314C00175000,2025-03-10 13:49:51+00:00,175.0,52.45,52.45,54.3,-11.450001,-17.918625,5.0,49,1.451174619140625,True,REGULAR,USD,call,2025-03-14,0.7690955436406786,4,0.010958904109589041,53.138333082508495,-0.6883330825084926,,,,
AAPL250314C00180000,2025-03-10 14:13:13+00:00,180.0,50.2,47.5,48.95,-10.399998,-17.161713,6.0,161,1.2714880175781247,True,REGULAR,USD,call,2025-03-14,0.7910697020304123,4,0.010958904109589041,48.04823381008865,2.1517661899113563,,,,
AAPL250314C00185000,2025-03-10 13:49:51+00:00,185.0,39.67,42.55,43.95,-14.730003,-27.077211,13.0,79,1.1586956127929686,True,REGULAR,USD,call,2025-03-14,0.813043860420146,4,0.010958904109589041,43.07424132209596,-3.404241322095956,,,,
AAPL250314C00190000,2025-03-10 18:47:43+00:00,190.0,36.26,37.55,38.85,-12.560001,-25.727163,94.0,104,1.0219775463867187,True,REGULAR,USD,call,2025-03-14,0.8350180188098796,4,0.010958904109589041,38.05005303738599,-1.790053037385995,,,,
AAPL250314C00195000,2025-03-10 14:56:15+00:00,195.0,30.3,32.6,34.4,-14.049999,-31.679817,4.0,63,0.98437515625,True,REGULAR,USD,call,2025-03-14,0.8569921771996133,4,0.010958904109589041,33.268072683236056,-2.9680726832360556,,,,
AAPL250314C00200000,2025-03-10 19:32:34+00:00,200.0,27.85,27.7,28.3,-10.690001,-27.737415,2679.0,205,0.72851833984375,True,REGULAR,USD,call,2025-03-14,0.878966335589347,4,0.010958904109589041,27.937310783612475,-0.08731078361247313,,,,
AAPL250314C00202500,2025-03-10 19:50:00+00:00,202.5,25.2,25.2,26.7,-11.149998,-30.673998,2.0,4,0.7861349511718749,True,REGULAR,USD,call,2025-03-14,0.8899534147842137,4,0.010958904109589041,25.755423575679004,-0.5554235756790042,,,,
AAPL250314C00205000,2025-03-10 19:48:01+00:00,205.0,22.9,21.6,23.9,-11.390001,-33.216682,31.0,124,0.534184345703125,True,REGULAR,USD,call,2025-03-14,0.9009404939790806,4,0.010958904109589041,22.783704938361694,0.11629506163830428,,,,
AAPL250314C00207500,2025-03-10 19:10:28+00:00,207.5,20.6,20.35,21.15,-11.299999,-35.423195,41.0,16,0.6201209863281252,True,REGULAR,USD,call,2025-03-14,0.9119275731739475,4,0.010958904109589041,20.628388610825937,-0.028388610825935245,,,,
AAPL250314C00210000,2025-03-10 19:38:36+00:00,210.0,18.25,18.0,18.75,-10.5,-36.52174,3666.0,413,0.5847209497070311,True,REGULAR,USD,call,2025-03-14,0.9229146523688143,4,0.010958904109589041,18.228722271014078,0.02127772898592184,,,,
AAPL250314C00212500,2025-03-10 18:55:20+00:00,212.5,15.7,15.7,16.05,-11.500001,-42.279415,67.0,18,0.5219774365234374,True,REGULAR,USD,call,2025-03-14,0.9339017315636812,4,0.010958904109589041,15.73909997565957,-0.03909997565957113,,,,
AAPL250314C00215000,2025-03-10 19:35:34+00:00,215.0,13.8,13.45,13.8,-10.749999,-43.788185,404.0,88,0.5251512329101562,True,REGULAR,USD,call,2025-03-14,0.944888810758548,4,0.010958904109589041,13.583548359353358,0.21645164064664257,,,,
AAPL250314C00217500,2025-03-10 19:55:46+00:00,217.5,11.37,11.3,11.85,-11.179999,-49.57871,416.0,91,0.5268602001953125,True,REGULAR,USD,call,2025-03-14,0.9558758899534148,4,0.010958904109589041,11.55223557450742,-0.18223557450742156,,,,
AAPL250314C00220000,2025-03-10 19:56:53+00:00,220.0,9.55,9.4,9.6,-9.8,-50.645992,6790.0,613,0.47803256347656253,True,REGULAR,USD,call,2025-03-14,0.9668629691482816,4,0.010958904109589041,9.293390159291164,0.25660984070883686,,,,
AAPL250314C00222500,2025-03-10 19:59:58+00:00,222.5,7.65,7.65,7.8,-9.85,-56.285717,1477.0,770,0.467778759765625,True,REGULAR,USD,call,2025-03-14,0.9778500483431485,4,0.010958904109589041,7.440811493877078,0.2091885061229224,,,,
AAPL250314C00225000,2025-03-10 19:59:55+00:00,225.0,6.0,5.9,6.1,-9.15,-60.396038,10177.0,1186,0.45044494873046875,True,REGULAR,USD,call,2025-03-14,0.9888371275380153,4,0.010958904109589041,5.711326559103156,0.28867344089684366,,,,
AAPL250314C00227500,2025-03-10 19:59:58+00:00,227.5,4.5,4.5,4.65,-8.39,-65.08922,14755.0,485,0.4387263159179688,False,REGULAR,USD,call,2025-03-14,0.9998242067328822,4,0.010958904109589041,4.243890189894657,0.25610981010534317,,,,
AAPL250314C00230000,2025-03-10 19:59:59+00:00,230.0,3.3,3.25,3.35,-7.42,-69.216415,43177.0,1837,0.4211483666992188,False,REGULAR,USD,call,2025-03-14,1.010811285927749,4,0.010958904109589041,2.9575118373287097,0.3424881626712901,,,,
AAPL250314C00232500,2025-03-10 19:59:56+00:00,232.5,2.32,2.26,2.32,-6.2700005,-72.99186,24032.0,1498,0.40796490478515623,False,REGULAR,USD,call,2025-03-14,1.021798365122616,4,0.010958904109589041,1.962403097596436,0.3575969024035639,,,,
AAPL250314C00235000,2025-03-10 19:59:59+00:00,235.0,1.54,1.5,1.55,-5.26,-77.352936,47788.0,3155,0.3986876538085938,False,REGULAR,USD,call,2025-03-14,1.0327854443174826,4,0.010958904109589041,1.2413160825681189,0.29868391743188116,,,,
AAPL250314C00237500,2025-03-10 19:59:57+00:00,237.5,0.97,0.95,0.99,-4.08,-80.792076,16961.0,6097,0.39111937011718745,False,REGULAR,USD,call,2025-03-14,1.0437725235123496,4,0.010958904109589041,0.7422780209865891,0.22772197901341085,,,,
AAPL250314C00240000,2025-03-10 19:59:57+00:00,240.0,0.61,0.58,0.61,-2.8899999,-82.57143,36868.0,9851,0.38623660644531244,False,REGULAR,USD,call,2025-03-14,1.0547596027072164,4,0.010958904109589041,0.42424053589830635,0.18575946410169364,,,,
AAPL250314C00242500,2025-03-10 19:59:52+00:00,242.5,0.35,0.35,0.37,-2.02,-85.23207,13644.0,3625,0.3842835009765625,False,REGULAR,USD,call,2025-03-14,1.065746681902083,4,0.010958904109589041,0.23523031479554213,0.11476968520445785,,,,
AAPL250314C00245000,2025-03-10 19:59:49+00:00,245.0,0.21,0.2,0.22,-1.3,-86.09271,13417.0,9947,0.38477177734374995,False,REGULAR,USD,call,2025-03-14,1.07673376109695,4,0.010958904109589041,0.12797876497292648,0.08202123502707351,,,,
AAPL250314C00247500,2025-03-10 19:59:39+00:00,247.5,0.11,0.11,0.15,-0.78999996,-87.77778,14071.0,8826,0.39649041015625003,False,REGULAR,USD,call,2025-03-14,1.0877208402918168,4,0.010958904109589041,0.08052791189478192,0.029472088105218078,,,,
AAPL250314C00250000,2025-03-10 19:58:15+00:00,250.0,0.07,0.07,0.09,-0.45999998,-86.79245,8976.0,13117,0.39942006835937505,False,REGULAR,USD,call,2025-03-14,1.0987079194866838,4,0.010958904109589041,0.04350630956945212,0.02649369043054789,,,,
AAPL250314C00252500,2025-03-10 19:54:34+00:00,252.5,0.04,0.03,0.05,-0.26000002,-86.66667,6144.0,6419,0.398443515625,False,REGULAR,USD,call,2025-03-14,1.1096949986815505,4,0.010958904109589041,0.021072337603019742,0.01892766239698026,,,,
AAPL250314C00255000,2025-03-10 19:52:06+00:00,255.0,0.02,0.02,0.03,-0.14,-87.5,6398.0,9734,0.4062559375,False,REGULAR,USD,call,2025-03-14,1.1206820778764173,4,0.010958904109589041,0.012068278036205249,0.007931721963794752,,,,
AAPL250314C00257500,2025-03-10 19:29:47+00:00,257.5,0.01,0.01,0.02,-0.09,-90.0,1609.0,5680,0.414068359375,False,REGULAR,USD,call,2025-03-14,1.1316691570712842,4,0.010958904109589041,0.006921897762468321,0.0030781022375316793,,,,
AAPL250314C00260000,2025-03-10 19:57:52+00:00,260.0,0.01,0.0,0.01,-0.04,-80.00001,1650.0,7464,0.414068359375,False,REGULAR,USD,call,2025-03-14,1.142656236266151,4,0.010958904109589041,0.0031938417162127863,0.006806158283787214,,,,
AAPL250314C00262500,2025-03-10 18:19:37+00:00,262.5,0.01,0.0,0.01,-0.02,-66.66667,366.0,1638,0.437505625,False,REGULAR,USD,call,2025-03-14,1.153643315461018,4,0.010958904109589041,0.002885076104965717,0.007114923895034283,,,,
AAPL250314C00265000,2025-03-10 18:27:01+00:00,265.0,0.01,0.0,0.01,-0.02,-66.66667,389.0,2898,0.4687553125,False,REGULAR,USD,call,2025-03-14,1.1646303946558847,4,0.010958904109589041,0.003269188608662349,0.006730811391337651,,,,
AAPL250314C00267500,2025-03-10 13:31:24+00:00,267.5,0.01,0.0,0.01,-0.01,-50.0,4.0,1135,0.49219257812500006,False,REGULAR,USD,call,2025-03-14,1.1756174738507517,4,0.010958904109589041,0.0030389312210644948,0.0069610687789355054,,,,
AAPL250314C00270000,2025-03-10 19:00:20+00:00,270.0,0.01,0.0,0.01,0.0,0.0,46.0,2733,0.51562984375,False,REGULAR,USD,call,2025-03-14,1.1866045530456184,4,0.010958904109589041,0.002865286000903744,0.007134713999096256,,,,
AAPL250314C00272500,2025-03-07 19:35:48+00:00,272.5,0.01,0.0,0.01,0.0,0.0,84.0,98,0.500005,False,REGULAR,USD,call,2025-03-14,1.1975916322404851,4,0.010958904109589041,0.0009831317268018114,0.009016868273198189,,,,
AAPL250314C00275000,2025-03-10 15:02:34+00:00,275.0,0.01,0.0,0.01,0.0,0.0,1027.0,915,0.5312546875,False,REGULAR,USD,call,2025-03-14,1.2085787114353521,4,0.010958904109589041,0.0012164399866555903,0.00878356001334441,,,,
AAPL250314C00280000,2025-03-07 20:18:44+00:00,280.0,0.01,0.0,0.01,0.0,0.0,10.0,943,0.57812921875,False,REGULAR,USD,call,2025-03-14,1.2305528698250858,4,0.010958904109589041,0.0012247666436623755,0.008775233356337625,,,,
AAPL250314C00285000,2025-03-07 17:07:21+00:00,285.0,0.01,0.0,0.01,0.0,0.0,1.0,132,0.6250037500000001,False,REGULAR,USD,call,2025-03-14,1.2525270282148193,4,0.010958904109589041,0.0012643706135113397,0.00873562938648866,,,,
AAPL250314C00290000,2025-03-07 17:58:37+00:00,290.0,0.01,0.0,0.01,0.0,0.0,12.0,258,0.6562534375000001,False,REGULAR,USD,call,2025-03-14,1.274501186604553,4,0.010958904109589041,0.0009390795681027617,0.009060920431897239,,,,
AAPL250314C00295000,2025-03-06 15:49:25+00:00,295.0,0.01,0.0,0.01,0.0,0.0,1.0,146,0.70312796875,False,REGULAR,USD,call,2025-03-14,1.2964753449942867,4,0.010958904109589041,0.0010255411990028815,0.008974458800997119,,,,
AAPL250314C00300000,2025-03-07 18:55:01+00:00,300.0,0.01,0.0,0.01,0.0,0.0,1.0,170,0.7500025,False,REGULAR,USD,call,2025-03-14,1.3184495033840204,4,0.010958904109589041,0.00112972308179482,0.00887027691820518,,,,
AAPL250314C00305000,2025-03-04 14:43:45+00:00,305.0,0.01,0.0,0.01,0.0,0.0,3.0,188,0.7812521875,False,REGULAR,USD,call,2025-03-14,1.3404236617737542,4,0.010958904109589041,0.0009266050087682332,0.009073394991231767,,,,
AAPL250314C00310000,2025-03-07 19:00:44+00:00,310.0,0.01,0.0,0.01,0.0,0.0,4.0,129,0.8281267187499999,False,REGULAR,USD,call,2025-03-14,1.3623978201634879,4,0.010958904109589041,0.0010514181077028381,0.008948581892297162,,,,
AAPL250314C00315000,2025-03-07 14:30:00+00:00,315.0,0.01,0.0,0.01,0.0,0.0,1.0,2,0.87500125,False,REGULAR,USD,call,2025-03-14,1.3843719785532214,4,0.010958904109589041,0.001194799189104083,0.008805200810895917,,,,
AAPL250314C00325000,2025-02-25 16:34:45+00:00,325.0,0.01,0.0,0.01,0.0,0.0,2.0,16,0.937500625,False,REGULAR,USD,call,2025-03-14,1.4283202953326888,4,0.010958904109589041,0.000931949366971066,0.009068050633028934,,,,
AAPL250314C00330000,2025-03-04 14:30:03+00:00,330.0,0.01,0.0,0.01,-0.01,-50.0,1.0,504,0.9687503125,False,REGULAR,USD,call,2025-03-14,1.4502944537224225,4,0.010958904109589041,0.0008454478304979612,0.009154552169502039,,,,
AAPL250314P00100000,2025-03-07 14:48:03+00:00,100.0,0.01,0.0,0.01,0.0,0.0,100.0,1215,2.1250046874999997,False,REGULAR,USD,put,2025-03-14,0.4394831677946735,4,0.010958904109589041,0.0008718720299559606,0.00912812797004404,,,,
AAPL250314P00110000,2025-02-21 14:40:57+00:00,110.0,0.01,0.0,0.01,0.0,0.0,1.0,4,1.875000625,False,REGULAR,USD,put,2025-03-14,0.4834314845741408,4,0.010958904109589041,0.0007830001296078894,0.00921699987039211,,,,
AAPL250314P00120000,2025-03-10 19:11:45+00:00,120.0,0.01,0.0,0.01,0.0,0.0,1.0,26,1.6875015625,False,REGULAR,USD,put,2025-03-14,0.5273798013536082,4,0.010958904109589041,0.001028318980799671,0.00897168101920033,,,,
AAPL250314P00130000,2025-03-10 13:45:31+00:00,130.0,0.02,0.0,0.01,0.01,100.0,1.0,1441,1.5000025,False,REGULAR,USD,put,2025-03-14,0.5713281181330755,4,0.010958904109589041,0.0011986322309127904,0.01880136776908721,,,,
AAPL250314P00140000,2025-03-10 19:17:51+00:00,140.0,0.01,0.0,0.02,0.0,0.0,3.0,1088,1.3750031249999999,False,REGULAR,USD,put,2025-03-14,0.6152764349125429,4,0.010958904109589041,0.0024223439626954585,0.007577656037304542,,,,
AAPL250314P00145000,2025-03-10 18:40:11+00:00,145.0,0.01,0.0,0.03,0.0,0.0,2.0,1952,1.3281283593749997,False,REGULAR,USD,put,2025-03-14,0.6372505933022765,4,0.010958904109589041,0.003954955246715797,0.0060450447532842035,,,,
AAPL250314P00150000,2025-03-10 19:46:34+00:00,150.0,0.02,0.0,0.02,0.0,0.0,41.0,2193,1.1875040625,False,REGULAR,USD,put,2025-03-14,0.6592247516920102,4,0.010958904109589041,0.00235585214618049,0.01764414785381951,,,,
AAPL250314P00155000,2025-03-10 18:39:33+00:00,155.0,0.02,0.01,0.04,-0.01,-33.333336,1092.0,1502,1.203128984375,False,REGULAR,USD,put,2025-03-14,0.6811989100817439,4,0.010958904109589041,0.007499357534454687,0.012500642465545313,,,,
AAPL250314P00160000,2025-03-10 19:46:48+00:00,160.0,0.03,0.01,0.03,0.0,0.0,1453.0,1560,1.0859420703125,False,REGULAR,USD,put,2025-03-14,0.7031730684714775,4,0.010958904109589041,0.00574462650757776,0.02425537349242224,,,,
AAPL250314P00165000,2025-03-10 19:57:25+00:00,165.0,0.04,0.02,0.04,0.01,33.333336,714.0,553,1.0390673046875003,False,REGULAR,USD,put,2025-03-14,0.7251472268612112,4,0.010958904109589041,0.009285674246651054,0.030714325753348946,,,,
AAPL250314P00170000,2025-03-10 19:58:16+00:00,170.0,0.05,0.01,0.05,0.020000001,66.66668,1401.0,1236,0.9531254687499999,False,REGULAR,USD,put,2025-03-14,0.747121385250945,4,0.010958904109589041,0.009679565848038918,0.040320434151961085,,,,
AAPL250314P00175000,2025-03-10 19:25:42+00:00,175.0,0.06,0.01,0.06,0.04,200.0,971.0,1247,0.8789074609374999,False,REGULAR,USD,put,2025-03-14,0.7690955436406786,4,0.010958904109589041,0.011439856797933579,0.04856014320206642,,,,
AAPL250314P00180000,2025-03-10 19:58:30+00:00,180.0,0.07,0.07,0.08,0.030000001,75.0,4344.0,2607,0.86914193359375,False,REGULAR,USD,put,2025-03-14,0.7910697020304123,4,0.010958904109589041,0.028572612247444673,0.041427387752555334,,,,
AAPL250314P00185000,2025-03-10 19:57:28+00:00,185.0,0.1,0.08,0.18,0.05,100.0,5636.0,4783,0.8398453515625,False,REGULAR,USD,put,2025-03-14,0.813043860420146,4,0.010958904109589041,0.055311316102238495,0.04468868389776151,,,,
AAPL250314P00190000,2025-03-10 19:54:08+00:00,190.0,0.12,0.12,0.13,0.06999999,139.99997,5307.0,3626,0.7421900781249999,False,REGULAR,USD,put,2025-03-14,0.8350180188098796,4,0.010958904109589041,0.054598335870942094,0.0654016641290579,,,,
AAPL250314P00195000,2025-03-10 19:55:55+00:00,195.0,0.16,0.15,0.17,0.06999999,77.77776,3016.0,2805,0.6738313867187502,False,REGULAR,USD,put,2025-03-14,0.8569921771996133,4,0.010958904109589041,0.07364484959698814,0.08635515040301187,,,,
AAPL250314P00200000,2025-03-10 19:59:37+00:00,200.0,0.23,0.22,0.26,0.13,129.99998,13196.0,2758,0.622074091796875,False,REGULAR,USD,put,2025-03-14,0.878966335589347,4,0.010958904109589041,0.12152147781460965,0.10847852218539036,,,,
AAPL250314P00202500,2025-03-10 19:58:29+00:00,202.5,0.27,0.26,0.28,0.16000001,145.45456,1633.0,692,0.584965087890625,False,REGULAR,USD,put,2025-03-14,0.8899534147842137,4,0.010958904109589041,0.1407878334233681,0.12921216657663193,,,,
AAPL250314P00205000,2025-03-10 19:54:33+00:00,205.0,0.33,0.31,0.34,0.20000002,153.84618,7802.0,3376,0.5551802294921876,False,REGULAR,USD,put,2025-03-14,0.9009404939790806,4,0.010958904109589041,0.1775814753442706,0.15241852465572941,,,,
AAPL250314P00207500,2025-03-10 19:59:44+00:00,207.5,0.43,0.4,0.42,0.27,168.75002,4772.0,1540,0.5297898583984376,False,REGULAR,USD,put,2025-03-14,0.9119275731739475,4,0.010958904109589041,0.23619036840180563,0.19380963159819437,,,,
AAPL250314P00210000,2025-03-10 19:58:52+00:00,210.0,0.55,0.52,0.54,0.38,223.52939,10896.0,4488,0.5063525927734375,False,REGULAR,USD,put,2025-03-14,0.9229146523688143,4,0.010958904109589041,0.3222674705635544,0.22773252943644562,,,,
AAPL250314P00212500,2025-03-10 19:58:32+00:00,212.5,0.75,0.69,0.72,0.55,275.00003,5230.0,640,0.48901878173828134,False,REGULAR,USD,put,2025-03-14,0.9339017315636812,4,0.010958904109589041,0.4647125081417727,0.2852874918582273,,,,
AAPL250314P00215000,2025-03-10 19:59:32+00:00,215.0,0.99,0.94,0.98,0.75,312.5,13303.0,2699,0.4726615234375,False,REGULAR,USD,put,2025-03-14,0.944888810758548,4,0.010958904109589041,0.6716955728338263,0.3183044271661737,,,,
AAPL250314P00217500,2025-03-10 19:59:44+00:00,217.5,1.39,1.3,1.35,1.1,379.3104,10422.0,1443,0.45898978515625005,False,REGULAR,USD,put,2025-03-14,0.9558758899534148,4,0.010958904109589041,0.97924587626391,0.4107541237360899,,,,
AAPL250314P00220000,2025-03-10 19:59:56+00:00,220.0,1.85,1.8,1.85,1.49,413.8889,30323.0,9900,0.4467828759765625,False,REGULAR,USD,put,2025-03-14,0.9668629691482816,4,0.010958904109589041,1.4175685844507555,0.4324314155492446,,,,
AAPL250314P00222500,2025-03-10 19:58:20+00:00,222.5,2.55,2.45,2.51,2.08,442.55316,14991.0,3452,0.43555251953125,False,REGULAR,USD,put,2025-03-14,0.9778500483431485,4,0.010958904109589041,2.0219540234253515,0.5280459765746484,,,,
AAPL250314P00225000,2025-03-10 19:59:56+00:00,225.0,3.35,3.25,3.4,2.71,423.4376,26562.0,8338,0.4292049267578125,False,REGULAR,USD,put,2025-03-14,0.9888371275380153,4,0.010958904109589041,2.866184932802213,0.4838150671977872,,,,
AAPL250314P00227500,2025-03-10 19:59:55+00:00,227.5,4.35,4.35,4.4,3.4899998,405.81384,12396.0,7898,0.4133359448242187,True,REGULAR,USD,put,2025-03-14,0.9998242067328822,4,0.010958904109589041,3.8506143829424815,0.49938561705751816,,,,
AAPL250314P00230000,2025-03-10 19:59:39+00:00,230.0,5.75,5.5,5.7,4.5299997,371.31137,24259.0,13100,0.40479110839843746,True,REGULAR,USD,put,2025-03-14,1.010811285927749,4,0.010958904109589041,5.152251831566076,0.5977481684339239,,,,
